Identifiant station;Nom de la Station;Nom de la ligne;Niveau de pollution;Recommandation de surveillance;stop_lon;stop_lat;pollution_air
IDFM:monomodalStopPlace:43149;Lardy;RER C;station aérienne;non;2.25501422039975;48.520620553498;station aérienne
IDFM:22398;Le Kremlin-Bicêtre;Métro 7;MOYENNE;non;2.36213041380256;48.8102525727899;pollution moyenne - incertitude forte
IDFM:monomodalStopPlace:43227;Les Ardoines;RER C;station aérienne;non;2.40958730503322;48.7824892262549;station aérienne
IDFM:monomodalStopPlace:58267;Les Boullereaux Champigny;RER E;station aérienne;non;2.51199084360762;48.824863988162;station aérienne
IDFM:monomodalStopPlace:46298;Les Saules;RER C;station aérienne;non;2.41745498988512;48.7452010522368;station aérienne
IDFM:490837;L'Haÿ-les-Roses;Métro 14;pas de données;non;2.35499121056631;48.7753264639509;pas de données
IDFM:22225;Liège;Métro 13;FAIBLE;non;2.32685267123976;48.8795349373758;pollution faible - incertitude forte
IDFM:463034;Louis Blanc;Métro 7B;MOYENNE;non;2.36436514355026;48.8811834115245;pollution moyenne - incertitude forte
IDFM:monomodalStopPlace:44628;Louvres;RER D;station aérienne;non;2.50181131437148;49.0493372682672;station aérienne
IDFM:463212;Mairie de Saint-Ouen;Métro 13;MOYENNE;non;2.33389308068536;48.9119588647325;pollution moyenne - incertitude forte
IDFM:21999;Mairie des Lilas;Métro 11;MOYENNE;non;2.41629782080119;48.8797436500629;pollution moyenne - incertitude forte
IDFM:463220;Mairie d'Ivry;Métro 7;MOYENNE;non;2.38349805363583;48.8112100933933;pollution moyenne - incertitude forte
IDFM:monomodalStopPlace:473109;Maisons-Laffitte;RER A;station aérienne;non;2.14467226593389;48.9457406074696;station aérienne
IDFM:22235;Malakoff - Plateau de Vanves;Métro 13;FAIBLE;non;2.2982953817025;48.8222075680405;pollution faible - incertitude forte
IDFM:463068;Malesherbes;Métro 3;MOYENNE;non;2.30948784696001;48.8828400225778;pollution moyenne - incertitude forte
IDFM:462974;Marcadet - Poissonniers;Métro 4;FAIBLE;non;2.34954516703856;48.8912796991365;pollution faible - incertitude forte
IDFM:462973;Marcadet - Poissonniers;Métro 12;MOYENNE;non;2.35002462180702;48.8915476028543;pollution moyenne - incertitude forte
